ABV,Availaility,Brewer,BrosScore,ImageLink,Location,Ranking,RatingCount,ReviewCount,Score,ScoreClass,pDev
7.50%,Year-round,Pivovar Náchod a.s.,,https://cdn.beeradvocate.com/im/beers/13845.jpg,Czech Republic,"#34,505",131,89,3.64,Good,13.19%
6.50%,Rotating,Local Option,,https://cdn.beeradvocate.com/im/beers/91735.jpg,"Illinois, United States","#40,873",118,29,3.48,Okay,11.49%
6.50%,Spring,Spaten-Franziskaner-Bräu,,https://cdn.beeradvocate.com/im/placeholder-beer.jpg,Germany,"#22,500",117,79,3.76,Very Good,11.97%
7.00%,Year-round,Klosterbrauerei Andechs,,https://cdn.beeradvocate.com/im/beers/6724.jpg,Germany,"#11,501",111,66,3.88,Very Good,11.34%
7.00%,Year-round,Hanseatische Getränke-Industrie (HGI) Holsten-Brauerei AG,,https://cdn.beeradvocate.com/im/beers/7359.jpg,Germany,"#44,868",111,72,2.85,Poor,18.6%
7.50%,Spring,Atwater Brewery,,https://cdn.beeradvocate.com/im/beers/31104.jpg,"Michigan, United States","#42,874",107,51,3.34,Okay,19.76%
6.80%,Year-round,Les Trois Mousquetaires,,https://cdn.beeradvocate.com/im/beers/52044.jpg,"Quebec, Canada","#28,070",106,49,3.71,Good,9.97%
8.00%,Summer,Pennsylvania Brewing Company,,https://cdn.beeradvocate.com/im/beers/36925.jpg,"Pennsylvania, United States","#26,887",105,75,3.72,Good,12.9%
6.80%,Spring,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,,https://cdn.beeradvocate.com/im/beers/136.jpg,Germany,"#4,347",96,19,4.08,Exceptional,7.6%
6.00%,Rotating,Hair of the Dog Brewing Company / Brewery and Tasting Room,,https://cdn.beeradvocate.com/im/placeholder-beer.jpg,"Oregon, United States","#12,612",96,12,3.87,Very Good,11.11%
6.50%,Spring,Southampton Publick House,,https://cdn.beeradvocate.com/im/beers/17674.jpg,"New York, United States","#5,745",94,84,4.02,Exceptional,8.46%
6.00%,Spring,The Olde Mecklenburg Brewery,,https://cdn.beeradvocate.com/im/placeholder-beer.jpg,"North Carolina, United States","#6,021",85,27,4.02,Exceptional,10.2%
6.80%,Rotating,Devils Backbone Brewing Company,,https://cdn.beeradvocate.com/im/beers/97097.jpg,"Virginia, United States","#36,175",83,20,3.6,Good,13.61%
6.50%,Year-round,Mahr's Bräu,,https://cdn.beeradvocate.com/im/beers/2413.jpg,Germany,"#19,101",80,58,3.8,Very Good,10%
6.00%,Year-round,Covington Brewhouse,,https://cdn.beeradvocate.com/im/beers/57208.jpg,"Louisiana, United States","#43,703",80,22,3.2,Okay,14.69%
6.50%,Spring,Free State Brewing Co.,,https://cdn.beeradvocate.com/im/beers/23121.jpg,"Kansas, United States","#36,073",78,24,3.6,Good,10.28%
8.00%,Spring,Foothills Brewing Company - Downtown Brewpub,,https://cdn.beeradvocate.com/im/beers/28691.jpg,"North Carolina, United States","#34,280",76,27,3.63,Good,9.64%
6.50%,Rotating,Two Roads Brewing Company,,https://cdn.beeradvocate.com/im/placeholder-beer.jpg,"Connecticut, United States","#13,476",76,10,3.87,Very Good,10.59%
7.00%,Spring,High Point Brewing Company,,https://cdn.beeradvocate.com/im/placeholder-beer.jpg,"New Jersey, United States","#7,741",73,43,3.98,Very Good,9.8%
6.00%,Summer,"Bayern Brewing, Inc. / Edelweiss Bistro",,https://cdn.beeradvocate.com/im/beers/59719.jpg,"Montana, United States","#23,282",68,21,3.76,Very Good,10.64%
7.20%,Year-round,Dogfish Head Craft Brewery,,https://cdn.beeradvocate.com/im/beers/1161.jpg,"Delaware, United States","#2,188","6,155","2,075",4.09,Exceptional,10.76%
12.00%,Year-round,Dogfish Head Craft Brewery,,https://cdn.beeradvocate.com/im/beers/33832.jpg,"Delaware, United States","#1,211","5,909","2,125",4.18,Exceptional,11.72%
5.60%,Year-round,Rogue Ales,,https://cdn.beeradvocate.com/im/beers/1339.jpg,"Oregon, United States","#2,461","4,246","1,462",4.07,Exceptional,12.53%
5.50%,Fall,Sierra Nevada Brewing Co.,,https://cdn.beeradvocate.com/im/beers/60420.jpg,"California, United States","#11,383","3,387","1,117",3.84,Very Good,11.46%
5.80%,Fall,"Bell's Brewery, Inc.",,https://cdn.beeradvocate.com/im/beers/1924.jpg,"Michigan, United States","#12,339","3,102",916,3.83,Very Good,11.23%
5.10%,Year-round,Big Sky Brewing Company,,https://cdn.beeradvocate.com/im/beers/2296.jpg,"Montana, United States","#29,710","2,759",914,3.7,Good,13.24%
6.70%,Year-round,Smuttynose Brewing Company,,https://cdn.beeradvocate.com/im/beers/184.jpg,"New Hampshire, United States","#5,865","2,708",981,3.93,Very Good,10.94%
5.50%,Year-round,Surly Brewing Company,,https://cdn.beeradvocate.com/im/beers/30764.jpg,"Minnesota, United States","#1,521","2,681",860,4.15,Exceptional,10.6%
7.85%,Spring,Lagunitas Brewing Company,,https://cdn.beeradvocate.com/im/beers/56613.jpg,"California, United States","#6,294","2,663",866,3.92,Very Good,10.71%
5.60%,Year-round,Brooklyn Brewery,,https://cdn.beeradvocate.com/im/beers/146.jpg,"New York, United States","#36,758","2,376",959,3.63,Good,12.67%
5.50%,Year-round,Avery Brewing Company,,https://cdn.beeradvocate.com/im/beers/2894.jpg,"Colorado, United States","#7,769","2,167",719,3.89,Very Good,10.54%
5.10%,Year-round,Surly Brewing Company,,https://cdn.beeradvocate.com/im/beers/28165.jpg,"Minnesota, United States","#2,521","1,976",764,4.07,Exceptional,9.83%
9.00%,Rotating,Founders Brewing Company,,https://cdn.beeradvocate.com/im/beers/64550.jpg,"Michigan, United States",#604,"1,569",384,4.29,Outstanding,7.23%
5.50%,Winter,Kona Brewing Co.,,https://cdn.beeradvocate.com/im/beers/66449.jpg,"Hawaii, United States","#37,406","1,474",341,3.62,Good,14.92%
5.20%,Rotating,Abita Brewing Co.,,https://cdn.beeradvocate.com/im/beers/35134.jpg,"Louisiana, United States","#43,780","1,082",404,3.35,Okay,15.22%
6.50%,Winter,New Holland Brewing Company,,https://cdn.beeradvocate.com/im/beers/3914.jpg,"Michigan, United States","#32,032","1,000",309,3.68,Good,12.77%
4.50%,Year-round,Tommyknocker Brewery,,https://cdn.beeradvocate.com/im/beers/117.jpg,"Colorado, United States","#43,026",936,437,3.42,Okay,15.5%
8.40%,Spring,Smuttynose Brewing Company,,https://cdn.beeradvocate.com/im/beers/88200.jpg,"New Hampshire, United States","#5,709",923,156,3.94,Very Good,9.9%
5.20%,Fall,Boston Beer Company (Samuel Adams),,https://cdn.beeradvocate.com/im/beers/83560.jpg,"Massachusetts, United States","#38,869",916,198,3.59,Good,14.76%
6.00%,Year-round,Tyranena Brewing Company,,https://cdn.beeradvocate.com/im/beers/20728.jpg,"Wisconsin, United States","#26,795",889,375,3.72,Good,11.56%
6.00%,Year-round,Anchor Brewing Company,,https://cdn.beeradvocate.com/im/beers/66961.jpg,"California, United States","#32,005",865,314,3.68,Good,13.59%
7.50%,Winter,Jolly Pumpkin Artisan Ales,,https://cdn.beeradvocate.com/im/beers/22257.jpg,"Michigan, United States","#5,410",804,332,3.95,Very Good,11.65%
7.00%,Year-round,Short's Brewing Company,,https://cdn.beeradvocate.com/im/beers/19685.jpg,"Michigan, United States","#17,229",774,274,3.79,Very Good,11.61%
6.00%,Rotating,Hill Farmstead Brewery,,https://cdn.beeradvocate.com/im/beers/74559.jpg,"Vermont, United States","#2,031",725,107,4.12,Exceptional,7.28%
5.80%,Spring,DuClaw Brewing Company,,https://cdn.beeradvocate.com/im/beers/114259.jpg,"Maryland, United States","#26,800",699,124,3.72,Good,13.44%
5.60%,Year-round,The Duck-Rabbit Craft Brewery,,https://cdn.beeradvocate.com/im/beers/20206.jpg,"North Carolina, United States","#29,609",686,325,3.7,Good,13.24%
8.50%,Year-round,Port Brewing,,https://cdn.beeradvocate.com/im/beers/88341.jpg,"California, United States","#1,613",642,113,4.16,Exceptional,8.17%
3.50%,Year-round,Yazoo Brewing Company,,https://cdn.beeradvocate.com/im/beers/20893.jpg,"Tennessee, United States","#36,482",643,173,3.63,Good,12.95%
9.00%,Year-round,Tommyknocker Brewery,,https://cdn.beeradvocate.com/im/beers/21166.jpg,"Colorado, United States","#26,802",640,351,3.72,Good,13.98%
6.30%,Year-round,Bear Republic Brewing Co.,,https://cdn.beeradvocate.com/im/beers/12531.jpg,"California, United States","#9,529",625,356,3.87,Very Good,11.11%
5.70%,Year-round,Humboldt Brewing Co.,,https://cdn.beeradvocate.com/im/beers/57319.jpg,"California, United States","#41,979",617,231,3.48,Okay,14.08%
9.15%,Winter,Short's Brewing Company,,https://cdn.beeradvocate.com/im/beers/54876.jpg,"Michigan, United States","#17,374",568,192,3.79,Very Good,13.46%
4.50%,Rotating,Atwater Brewery,,https://cdn.beeradvocate.com/im/beers/78023.jpg,"Michigan, United States","#26,806",559,124,3.72,Good,15.86%
12.00%,Rotating,Prairie Artisan Ales,,https://cdn.beeradvocate.com/im/beers/93863.jpg,"Oklahoma, United States","#2,251",549,91,4.11,Exceptional,9.25%
6.10%,Year-round,Lonerider Brewing Company,,https://cdn.beeradvocate.com/im/beers/49646.jpg,"North Carolina, United States","#17,377",534,108,3.79,Very Good,11.87%
7.70%,Winter,Goose Island Beer Co.,,https://cdn.beeradvocate.com/im/beers/131943.jpg,"Illinois, United States","#37,091",530,100,3.62,Good,12.98%
6.80%,Rotating,Boulder Beer / Wilderness Pub,,https://cdn.beeradvocate.com/im/beers/46809.jpg,"Colorado, United States","#24,197",522,283,3.74,Good,12.57%
8.00%,Rotating,"Bell's Brewery, Inc.",,https://cdn.beeradvocate.com/im/beers/126809.jpg,"Michigan, United States","#14,040",517,84,3.82,Very Good,9.16%
5.20%,Rotating,Shmaltz Brewing Company,,https://cdn.beeradvocate.com/im/beers/79424.jpg,"New York, United States","#38,149",499,104,3.6,Good,11.67%
6.20%,Winter,Magic Hat Brewing Company,,https://cdn.beeradvocate.com/im/beers/141169.jpg,"Vermont, United States","#42,632",498,65,3.44,Okay,12.79%
5.10%,Rotating,Surly Brewing Company,,https://cdn.beeradvocate.com/im/placeholder-beer.jpg,"Minnesota, United States",#715,486,40,4.3,Outstanding,8.37%
6.00%,Rotating,Funky Buddha Brewery,,https://cdn.beeradvocate.com/im/beers/69935.jpg,"Florida, United States","#1,420",470,88,4.19,Exceptional,12.41%
13.20%,Rotating,Firestone Walker Brewing Co.,,https://cdn.beeradvocate.com/im/beers/37072.jpg,"California, United States",#821,468,133,4.28,Outstanding,7.24%
8.80%,Rotating,Funky Buddha Brewery,,https://cdn.beeradvocate.com/im/beers/113976.jpg,"Florida, United States",#584,458,59,4.33,Outstanding,7.85%
6.80%,Winter,Long Trail Brewing Co.,,https://cdn.beeradvocate.com/im/beers/128875.jpg,"Vermont, United States","#39,042",442,68,3.58,Good,12.57%
13.00%,Rotating,Prairie Artisan Ales,,https://cdn.beeradvocate.com/im/beers/204098.jpg,"Oklahoma, United States",#890,435,91,4.27,Outstanding,7.49%
5.40%,Rotating,Rogue Ales,,https://cdn.beeradvocate.com/im/beers/107055.jpg,"Oregon, United States","#40,985",425,82,3.52,Good,16.76%
6.20%,Rotating,SweetWater Brewing Company,,https://cdn.beeradvocate.com/im/beers/186069.jpg,"Georgia, United States","#12,283",406,95,3.84,Very Good,10.42%
6.00%,Year-round,Half Acre Beer Company,,https://cdn.beeradvocate.com/im/beers/48024.jpg,"Illinois, United States","#15,283",403,139,3.81,Very Good,9.71%
5.50%,Year-round,Ale Asylum,,https://cdn.beeradvocate.com/im/beers/31412.jpg,"Wisconsin, United States","#30,693",383,99,3.69,Good,12.2%
4.70%,Year-round,Heineken Nederland B.V.,,https://cdn.beeradvocate.com/im/beers/639.jpg,Netherlands,"#44,035","5,185","1,608",3.32,Okay,18.37%
5.00%,Year-round,Samuel Smith Old Brewery (Tadcaster),,https://cdn.beeradvocate.com/im/beers/576.jpg,"England, United Kingdom","#2,212","3,930","1,484",4.09,Exceptional,11.98%
5.60%,Year-round,Abita Brewing Co.,,https://cdn.beeradvocate.com/im/beers/6.jpg,"Louisiana, United States","#34,248","2,916","1,024",3.66,Good,13.66%
5.50%,Year-round,Cigar City Brewing,,https://cdn.beeradvocate.com/im/beers/47731.jpg,"Florida, United States","#6,288","2,760",737,3.92,Very Good,10.97%
4.50%,Year-round,Lazy Magnolia Brewing Company,,https://cdn.beeradvocate.com/im/beers/22343.jpg,"Mississippi, United States","#39,422","1,792",592,3.58,Good,14.53%
5.80%,Rotating,New Glarus Brewing Company,,https://cdn.beeradvocate.com/im/beers/9900.jpg,"Wisconsin, United States","#16,958","1,611",535,3.79,Very Good,11.08%
5.50%,Year-round,Cigar City Brewing,,https://cdn.beeradvocate.com/im/beers/50082.jpg,"Florida, United States","#2,037","1,339",307,4.11,Exceptional,9.49%
5.50%,Year-round,Goose Island Beer Co.,,https://cdn.beeradvocate.com/im/beers/1169.jpg,"Illinois, United States","#22,590","1,073",455,3.75,Very Good,10.93%
5.00%,Year-round,Lost Coast Brewery and Cafe,,https://cdn.beeradvocate.com/im/beers/717.jpg,"California, United States","#34,991",913,413,3.65,Good,12.6%
5.00%,Rotating,AleSmith Brewing Company,,https://cdn.beeradvocate.com/im/beers/9791.jpg,"California, United States","#4,504",887,254,3.98,Very Good,10.05%
6.00%,Year-round,Grand Teton Brewing Co.,,https://cdn.beeradvocate.com/im/beers/13209.jpg,"Idaho, United States","#25,554",819,349,3.73,Good,13.14%
5.60%,Winter,Weyerbacher Brewing Co.,,https://cdn.beeradvocate.com/im/beers/1591.jpg,"Pennsylvania, United States","#42,727",796,381,3.44,Okay,13.95%
5.10%,Year-round,SweetWater Brewing Company,,https://cdn.beeradvocate.com/im/beers/4162.jpg,"Georgia, United States","#38,799",772,252,3.59,Good,13.09%
5.00%,Fall,Wells & Young's Ltd,,https://cdn.beeradvocate.com/im/beers/106539.jpg,"England, United Kingdom","#42,851",741,152,3.43,Okay,15.74%
4.40%,Fall,Long Trail Brewing Co.,,https://cdn.beeradvocate.com/im/beers/272.jpg,"Vermont, United States","#34,026",738,281,3.66,Good,13.39%
6.50%,Year-round,Dark Horse Brewing Company,,https://cdn.beeradvocate.com/im/beers/8848.jpg,"Michigan, United States","#21,333",636,204,3.76,Very Good,10.64%
9.00%,Year-round,Cigar City Brewing,,https://cdn.beeradvocate.com/im/beers/46368.jpg,"Florida, United States","#5,885",622,204,3.94,Very Good,10.91%
5.00%,Year-round,Tröegs Brewing Company,,https://cdn.beeradvocate.com/im/beers/3677.jpg,"Pennsylvania, United States","#26,805",559,441,3.72,Good,11.29%
5.30%,Year-round,Black Toad Brewing Co.,,https://cdn.beeradvocate.com/im/beers/5729.jpg,"California, United States","#37,084",520,265,3.62,Good,14.36%
6.00%,Year-round,Legend Brewing Co.,,https://cdn.beeradvocate.com/im/beers/1647.jpg,"Virginia, United States","#15,099",487,160,3.81,Very Good,12.6%
5.40%,Year-round,Real Ale Brewing Company,,https://cdn.beeradvocate.com/im/beers/2299.jpg,"Texas, United States","#39,502",486,234,3.57,Good,12.89%
5.40%,Year-round,Ithaca Beer Company,,https://cdn.beeradvocate.com/im/beers/1781.jpg,"New York, United States","#38,595",443,218,3.59,Good,12.81%
5.00%,Rotating,Against The Grain Brewery & Smokehouse,,https://cdn.beeradvocate.com/im/beers/80692.jpg,"Kentucky, United States","#20,149",417,89,3.77,Very Good,10.88%
4.30%,Year-round,Woodstock Inn Brewery,,https://cdn.beeradvocate.com/im/beers/4960.jpg,"New Hampshire, United States","#40,125",417,130,3.55,Good,13.24%
5.50%,Rotating,Cigar City Brewing,,https://cdn.beeradvocate.com/im/beers/53014.jpg,"Florida, United States","#2,107",408,154,4.13,Exceptional,10.17%
4.70%,Year-round,Peak Organic Brewing Company,,https://cdn.beeradvocate.com/im/beers/30546.jpg,"Maine, United States","#41,790",385,156,3.48,Okay,13.22%
5.20%,Year-round,Atlantic Brewing Company / Mainely Meat BBQ,,https://cdn.beeradvocate.com/im/beers/1052.jpg,"Maine, United States","#40,378",375,220,3.54,Good,12.99%
6.50%,Rotating,Jackie O's Pub & Brewery,,https://cdn.beeradvocate.com/im/beers/44294.jpg,"Ohio, United States","#17,704",367,63,3.79,Very Good,9.76%
5.20%,Year-round,Big Boss Brewing,,https://cdn.beeradvocate.com/im/beers/36382.jpg,"North Carolina, United States","#37,998",360,110,3.6,Good,12.78%
10.50%,Rotating,Short's Brewing Company,,https://cdn.beeradvocate.com/im/beers/37466.jpg,"Michigan, United States","#10,739",360,136,3.86,Very Good,13.99%
5.00%,Rotating,DuClaw Brewing Company,,https://cdn.beeradvocate.com/im/beers/31653.jpg,"Maryland, United States","#39,736",359,78,3.56,Good,13.48%
5.50%,Rotating,Cigar City Brewing,,https://cdn.beeradvocate.com/im/beers/50157.jpg,"Florida, United States","#2,692",350,72,4.09,Exceptional,8.56%
6.70%,Year-round,Upslope Brewing Company - Lee Hill,,https://cdn.beeradvocate.com/im/beers/63958.jpg,"Colorado, United States","#7,171",335,72,3.92,Very Good,10.46%
5.70%,Year-round,Black Sheep Brewery PLC,,https://cdn.beeradvocate.com/im/beers/3939.jpg,"England, United Kingdom","#12,525",324,249,3.84,Very Good,10.16%
5.20%,Year-round,Santa Fe Brewing Company,,https://cdn.beeradvocate.com/im/beers/4792.jpg,"New Mexico, United States","#42,406",299,135,3.44,Okay,13.37%
5.30%,Year-round,Saint Arnold Brewing Company,,https://cdn.beeradvocate.com/im/beers/1066.jpg,"Texas, United States","#38,794",295,125,3.58,Good,12.85%
4.80%,Year-round,Nebraska Brewing Company,,https://cdn.beeradvocate.com/im/beers/50884.jpg,"Nebraska, United States","#39,938",289,72,3.55,Good,10.7%
6.00%,Year-round,Back Forty Beer Co.,,https://cdn.beeradvocate.com/im/beers/58014.jpg,"Alabama, United States","#41,436",285,60,3.49,Okay,13.75%
5.60%,Year-round,RJ Rockers Brewing Company,,https://cdn.beeradvocate.com/im/beers/131530.jpg,"South Carolina, United States","#39,559",274,104,3.56,Good,15.17%
6.00%,Year-round,Flossmoor Station Restaurant & Brewery,,https://cdn.beeradvocate.com/im/beers/42190.jpg,"Illinois, United States","#5,177",269,161,3.98,Very Good,10.3%
5.15%,Year-round,Ska Brewing Co.,,https://cdn.beeradvocate.com/im/beers/3315.jpg,"Colorado, United States","#42,174",269,124,3.45,Okay,12.75%
6.00%,Fall,Arcadia Brewing Company,,https://cdn.beeradvocate.com/im/beers/2866.jpg,"Michigan, United States","#42,327",264,139,3.44,Okay,15.12%
4.80%,Year-round,Bar Harbor Brewing Company,,https://cdn.beeradvocate.com/im/beers/3339.jpg,"Maine, United States","#28,252",246,125,3.71,Good,11.86%
5.80%,Spring,Redhook Ale Brewery,,https://cdn.beeradvocate.com/im/beers/55264.jpg,"New Hampshire, United States","#42,822",235,100,3.4,Okay,13.24%
5.80%,Spring,Redhook Ale Brewery,,https://cdn.beeradvocate.com/im/beers/72.jpg,"New Hampshire, United States","#41,893",229,133,3.46,Okay,12.72%
7.00%,Rotating,Alaskan Brewing Co.,,https://cdn.beeradvocate.com/im/beers/181803.jpg,"Alaska, United States","#9,321",221,66,3.89,Very Good,8.48%
6.10%,Year-round,Hi-Wire Brewing,,https://cdn.beeradvocate.com/im/beers/96124.jpg,"North Carolina, United States","#29,356",218,37,3.7,Good,11.35%
4.20%,Rotating,Long Trail Brewing Co.,,https://cdn.beeradvocate.com/im/placeholder-beer.jpg,"Vermont, United States","#38,015",199,91,3.59,Good,12.53%
5.60%,Year-round,Blackstone Restaurant & Brewery,,https://cdn.beeradvocate.com/im/beers/1989.jpg,"Tennessee, United States","#36,343",198,55,3.62,Good,12.15%
6.80%,Fall,Brau Brothers Brewing Co. LLC,,https://cdn.beeradvocate.com/im/beers/39081.jpg,"Minnesota, United States","#22,047",197,89,3.76,Very Good,13.83%
5.20%,Year-round,New Belgium Brewing,,https://cdn.beeradvocate.com/im/beers/607.jpg,"Colorado, United States","#38,600","8,821","2,062",3.6,Good,14.72%
7.50%,Spring,Tröegs Brewing Company,,https://cdn.beeradvocate.com/im/beers/15881.jpg,"Pennsylvania, United States",#431,"8,584","2,553",4.32,Outstanding,9.49%
8.10%,Year-round,Green Flash Brewing Co.,,https://cdn.beeradvocate.com/im/beers/35732.jpg,"California, United States","#4,566","3,416",965,3.97,Very Good,11.08%
5.80%,Year-round,"Bell's Brewery, Inc.",,https://cdn.beeradvocate.com/im/beers/794.jpg,"Michigan, United States","#11,392","3,154",983,3.84,Very Good,11.98%
6.00%,Year-round,Tröegs Brewing Company,,https://cdn.beeradvocate.com/im/beers/6322.jpg,"Pennsylvania, United States","#4,572","3,110","1,176",3.97,Very Good,10.58%
6.20%,Fall,Sierra Nevada Brewing Co.,,https://cdn.beeradvocate.com/im/beers/98495.jpg,"California, United States","#16,877","2,874",419,3.79,Very Good,11.08%
6.75%,Year-round,Lagunitas Brewing Company,,https://cdn.beeradvocate.com/im/beers/3711.jpg,"California, United States","#26,788","2,737",890,3.72,Good,11.56%
8.80%,Spring,Lagunitas Brewing Company,,https://cdn.beeradvocate.com/im/beers/35397.jpg,"California, United States","#1,961","2,723",968,4.11,Exceptional,9.49%
8.00%,Fall,Great Lakes Brewing Co.,,https://cdn.beeradvocate.com/im/beers/1792.jpg,"Ohio, United States","#2,493","2,658",924,4.07,Exceptional,10.57%
6.80%,Year-round,Bear Republic Brewing Co.,,https://cdn.beeradvocate.com/im/beers/1655.jpg,"California, United States","#2,819","2,613","1,178",4.05,Exceptional,10.86%
7.20%,Year-round,Maine Beer Company,,https://cdn.beeradvocate.com/im/beers/54522.jpg,"Maine, United States","#1,174","2,500",612,4.19,Exceptional,8.35%
5.30%,Winter,Rogue Ales,,https://cdn.beeradvocate.com/im/beers/1173.jpg,"Oregon, United States","#23,984","2,362","1,205",3.74,Good,13.9%
9.20%,Rotating,Avery Brewing Company,,https://cdn.beeradvocate.com/im/beers/1490.jpg,"Colorado, United States","#4,906","2,098",927,3.96,Very Good,11.11%
5.40%,Year-round,North Coast Brewing Co.,,https://cdn.beeradvocate.com/im/beers/410.jpg,"California, United States","#7,256","2,095","1,013",3.9,Very Good,11.79%
5.80%,Year-round,Anderson Valley Brewing Company,,https://cdn.beeradvocate.com/im/beers/623.jpg,"California, United States","#11,520","1,588",578,3.84,Very Good,12.76%
5.80%,Year-round,Highland Brewing,,https://cdn.beeradvocate.com/im/beers/2526.jpg,"North Carolina, United States","#14,598","1,486",538,3.81,Very Good,11.81%
5.50%,Year-round,Ballast Point Brewing Company,,https://cdn.beeradvocate.com/im/beers/691.jpg,"California, United States","#18,382","1,461",468,3.78,Very Good,10.58%
5.30%,Year-round,Rogue Ales,,https://cdn.beeradvocate.com/im/beers/363.jpg,"Oregon, United States","#12,476","1,456",727,3.83,Very Good,10.97%
7.40%,Year-round,Cigar City Brewing,,https://cdn.beeradvocate.com/im/beers/61877.jpg,"Florida, United States","#2,023","1,441",244,4.11,Exceptional,10.22%
4.40%,Year-round,Breckenridge Brewery,,https://cdn.beeradvocate.com/im/beers/2297.jpg,"Colorado, United States","#44,166","1,341",461,3.29,Okay,15.81%
6.80%,Rotating,Modern Times Beer,,https://cdn.beeradvocate.com/im/beers/95921.jpg,"California, United States","#2,046","1,255",209,4.11,Exceptional,8.76%
7.00%,Rotating,Ithaca Beer Company,,https://cdn.beeradvocate.com/im/beers/18721.jpg,"New York, United States","#13,588","1,236",589,3.82,Very Good,10.99%
6.00%,Year-round,Full Sail Brewery & Tasting Room & Pub,,https://cdn.beeradvocate.com/im/beers/213.jpg,"Oregon, United States","#22,528","1,200",472,3.75,Very Good,12%
7.00%,Fall,Sixpoint Brewery,,https://cdn.beeradvocate.com/im/beers/104466.jpg,"New York, United States","#6,455","1,197",220,3.92,Very Good,9.44%
7.30%,Spring,Stone Brewing,,https://cdn.beeradvocate.com/im/beers/199848.jpg,"California, United States","#2,604","1,083",261,4.07,Exceptional,8.11%
5.10%,Year-round,Rogue Ales,,https://cdn.beeradvocate.com/im/beers/1597.jpg,"Oregon, United States","#18,426","1,050",676,3.78,Very Good,12.43%
6.00%,Fall,Anchor Brewing Company,,https://cdn.beeradvocate.com/im/beers/97721.jpg,"California, United States","#40,074",980,207,3.56,Good,12.08%
6.10%,Year-round,Speakeasy Ales & Lagers,,https://cdn.beeradvocate.com/im/beers/1468.jpg,"California, United States","#12,596",978,347,3.83,Very Good,12.27%
6.80%,Rotating,Brewery Ommegang,,https://cdn.beeradvocate.com/im/beers/115428.jpg,"New York, United States","#36,591",973,139,3.63,Good,12.95%
6.10%,Year-round,Mendocino Brewing Company,,https://cdn.beeradvocate.com/im/beers/631.jpg,United States,"#42,635",969,482,3.45,Okay,14.78%
10.00%,Rotating,Ballast Point Brewing Company,,https://cdn.beeradvocate.com/im/beers/7306.jpg,"California, United States","#6,973",945,243,3.91,Very Good,11.51%
6.80%,Year-round,"Lakefront Brewery, Inc.",,https://cdn.beeradvocate.com/im/beers/56386.jpg,"Wisconsin, United States","#28,372",941,174,3.71,Good,12.67%
8.50%,Winter,AleSmith Brewing Company,,https://cdn.beeradvocate.com/im/beers/47647.jpg,"California, United States","#2,367",903,340,4.09,Exceptional,9.29%
5.00%,Year-round,Switchback Brewing Company,,https://cdn.beeradvocate.com/im/beers/11960.jpg,"Vermont, United States","#38,854",875,159,3.59,Good,12.81%
5.00%,Year-round,BrewDog,,https://cdn.beeradvocate.com/im/beers/55191.jpg,"Scotland, United Kingdom","#12,667",852,271,3.83,Very Good,11.49%
6.00%,Fall,New Belgium Brewing,,https://cdn.beeradvocate.com/im/beers/83434.jpg,"Colorado, United States","#19,892",810,176,3.77,Very Good,13.26%
6.20%,Year-round,Rogue Ales,,https://cdn.beeradvocate.com/im/beers/51071.jpg,"Oregon, United States","#21,213",808,389,3.76,Very Good,11.97%
6.50%,Winter,Odell Brewing Company,,https://cdn.beeradvocate.com/im/beers/47589.jpg,"Colorado, United States","#3,007",794,234,4.05,Exceptional,9.38%
9.00%,Rotating,Port Brewing,,https://cdn.beeradvocate.com/im/beers/41421.jpg,"California, United States","#9,397",781,316,3.87,Very Good,11.11%
6.50%,Year-round,Pipeworks Brewing Company,,https://cdn.beeradvocate.com/im/beers/81742.jpg,"Illinois, United States","#3,394",697,122,4.03,Exceptional,8.44%
6.66%,Winter,AleSmith Brewing Company,,https://cdn.beeradvocate.com/im/beers/28312.jpg,"California, United States","#5,484",684,168,3.95,Very Good,9.11%
6.50%,Fall,Revolution Brewing,,https://cdn.beeradvocate.com/im/beers/64036.jpg,"Illinois, United States","#14,912",663,93,3.81,Very Good,11.55%
7.60%,Year-round,21st Amendment Brewery,,https://cdn.beeradvocate.com/im/beers/185213.jpg,"California, United States","#5,874",625,153,3.94,Very Good,8.88%
5.40%,Year-round,Humboldt Brewing Co.,,https://cdn.beeradvocate.com/im/beers/1663.jpg,"California, United States","#37,729",594,262,3.61,Good,13.57%
6.80%,Year-round,Ale Asylum,,https://cdn.beeradvocate.com/im/beers/31117.jpg,"Wisconsin, United States","#6,310",591,173,3.93,Very Good,10.69%
7.50%,Rotating,"Bell's Brewery, Inc.",,https://cdn.beeradvocate.com/im/beers/48134.jpg,"Michigan, United States","#3,886",581,129,4.01,Exceptional,8.48%
6.66%,Fall,AleSmith Brewing Company,,https://cdn.beeradvocate.com/im/beers/10387.jpg,"California, United States","#3,102",568,148,4.05,Exceptional,9.63%
7.50%,Year-round,BridgePort Brewing Co. / Brewpub,,https://cdn.beeradvocate.com/im/beers/64798.jpg,"Oregon, United States","#40,256",565,185,3.55,Good,14.65%
10.30%,Rotating,Terrapin Beer Company,,https://cdn.beeradvocate.com/im/beers/45779.jpg,"Georgia, United States","#11,120",564,111,3.85,Very Good,12.47%
