ABV,Availaility,Brewer,BrosScore,ImageLink,Location,Name,Ranking,RatingCount,ReviewCount,Score,ScoreClass,Style,URL,pDev
11.00,Winter,Les Trois Mousquetaires,0,https://cdn.beeradvocate.com/im/beers/44939.jpg,"Quebec, Canada",Weizenbock Grande Cuvée,15360,114,58,3.83,Very Good,Weizenbock,https://www.beeradvocate.com/beer/profile/11056/44939/,11.23
7.90,Rotating,Left Hand Brewing Company,0,https://cdn.beeradvocate.com/im/beers/67253.jpg,"Colorado, United States",TNT,43578,114,74,3.27,Okay,Weizenbock,https://www.beeradvocate.com/beer/profile/418/67253/,22.02
8.00,Rotating,Kuhnhenn Brewing Company,0,https://cdn.beeradvocate.com/im/beers/55469.jpg,"Michigan, United States",Kuhnhenn Weiss Teufel (White Devil),6669,108,28,3.98,Very Good,Weizenbock,https://www.beeradvocate.com/beer/profile/2097/55469/,9.55
8.00,Rotating,Cervejaria Sudbrack Ltda,0,https://cdn.beeradvocate.com/im/beers/19608.jpg,Brazil,Eisenbahn Vigorosa (Weizenbock),26900,106,90,3.72,Good,Weizenbock,https://www.beeradvocate.com/beer/profile/10096/19608/,13.17
7.00,Rotating,Fat Head's Brewery & Saloon,0,https://cdn.beeradvocate.com/im/placeholder-beer.jpg,"Ohio, United States",Alpen Glow Weizenbock,4893,101,22,4.05,Exceptional,Weizenbock,https://www.beeradvocate.com/beer/profile/19544/55848/,8.4
8.60,Rotating,Peak Organic Brewing Company,0,https://cdn.beeradvocate.com/im/beers/68937.jpg,"Maine, United States",Peak Organic Weiss Principal Imperial Hefe,42567,88,50,3.35,Okay,Weizenbock,https://www.beeradvocate.com/beer/profile/13884/68937/,25.07
8.50,Rotating,Neshaminy Creek Brewing Company,0,https://cdn.beeradvocate.com/im/beers/88776.jpg,"Pennsylvania, United States",Neshaminator,19960,86,23,3.79,Very Good,Weizenbock,https://www.beeradvocate.com/beer/profile/29021/88776/,10.82
10.90,Winter,Atwater Brewery,0,https://cdn.beeradvocate.com/im/beers/48033.jpg,"Michigan, United States",Teufel Bock,16225,85,34,3.83,Very Good,Weizenbock,https://www.beeradvocate.com/beer/profile/15280/48033/,13.05
7.20,Winter,Minneapolis Town Hall Brewery,0,https://cdn.beeradvocate.com/im/beers/78705.jpg,"Minnesota, United States",Buffalo Bock,3978,82,19,4.12,Exceptional,Weizenbock,https://www.beeradvocate.com/beer/profile/1177/78705/,10.44
8.00,Rotating,Rahr & Sons Brewing Company,0,https://cdn.beeradvocate.com/im/beers/74071.jpg,"Texas, United States",Angry Goat,36312,69,14,3.59,Good,Weizenbock,https://www.beeradvocate.com/beer/profile/9969/74071/,17.83
7.00,Year-round,Weissbierbrauerei Hopf,0,https://cdn.beeradvocate.com/im/beers/3673.jpg,Germany,Hopf Weisser Bock,8763,69,49,3.96,Very Good,Weizenbock,https://www.beeradvocate.com/beer/profile/1357/3673/,7.07
7.50,Winter,"Bayern Brewing, Inc. / Edelweiss Bistro",4,https://cdn.beeradvocate.com/im/beers/54452.jpg,"Montana, United States",Bayern Face Plant Doppel Weizen,17223,63,32,3.83,Very Good,Weizenbock,https://www.beeradvocate.com/beer/profile/605/54452/,12.79
6.80,Rotating,Beau's All Natural Brewing Company,3.95,https://cdn.beeradvocate.com/im/beers/72633.jpg,"Ontario, Canada",Wild Oats Series No. 10 - Dunkel Buck,12535,59,34,3.9,Very Good,Weizenbock,https://www.beeradvocate.com/beer/profile/15435/72633/,8.21
7.20,Winter,Appalachian Brewing Company,0,https://cdn.beeradvocate.com/im/beers/7402.jpg,"Pennsylvania, United States",Volks Weizenbock,20823,58,36,3.79,Very Good,Weizenbock,https://www.beeradvocate.com/beer/profile/1336/7402/,10.03
7.90,Rotating,Pennsylvania Brewing Company,0,https://cdn.beeradvocate.com/im/beers/36251.jpg,"Pennsylvania, United States",Weizenbock,9199,56,42,3.97,Very Good,Weizenbock,https://www.beeradvocate.com/beer/profile/125/36251/,11.59
8.00,Spring,Devils Backbone Brewing Company,0,https://cdn.beeradvocate.com/im/beers/131665.jpg,"Virginia, United States",Skull Crushing Ape,15607,53,18,3.86,Very Good,Weizenbock,https://www.beeradvocate.com/beer/profile/18539/131665/,11.14
7.90,Fall,Scuttlebutt Brewing Company - Restaurant and Pub,0,https://cdn.beeradvocate.com/im/beers/13615.jpg,"Washington, United States",Weizen Bock,40811,49,26,3.4,Okay,Weizenbock,https://www.beeradvocate.com/beer/profile/1397/13615/,15.29
6.50,Year-round,Heineken Nederland B.V.,0,https://cdn.beeradvocate.com/im/beers/14497.jpg,Netherlands,Heineken Tarwebok,35414,49,19,3.59,Good,Weizenbock,https://www.beeradvocate.com/beer/profile/81/14497/,14.48
8.00,Rotating,Olde Hickory Brewery,3.5,https://cdn.beeradvocate.com/im/beers/35630.jpg,"North Carolina, United States",Weizenbock,31252,42,21,3.66,Good,Weizenbock,https://www.beeradvocate.com/beer/profile/7753/35630/,13.11
8.30,Spring,Urban Chestnut Brewing Company - Midtown Brewery & Biergarten,0,https://cdn.beeradvocate.com/im/beers/96197.jpg,"Missouri, United States",Erlkönig,15349,42,11,3.88,Very Good,Weizenbock,https://www.beeradvocate.com/beer/profile/24764/96197/,10.82
8.00,Year-round,Brauhaus Riegele,0,https://cdn.beeradvocate.com/im/beers/41463.jpg,Germany,Riegele Augustus Weizendoppelbock,9781,42,12,3.99,Very Good,Weizenbock,https://www.beeradvocate.com/beer/profile/5850/41463/,10.28
7.10,Year-round,Brauerei Gebrüder Maisel GmbH & Co.,0,https://cdn.beeradvocate.com/im/beers/106506.jpg,Germany,Maisel & Friends Jeff's Bavarian Ale,8337,39,14,4.04,Exceptional,Weizenbock,https://www.beeradvocate.com/beer/profile/585/106506/,9.41
8.14,Limited(brewedonce),August Schell Brewing Company,0,https://cdn.beeradvocate.com/im/beers/286031.jpg,"Minnesota, United States",Schell's Stag Series #11- Bananas Foster Weizenbock,8698,39,15,4.03,Exceptional,Weizenbock,https://www.beeradvocate.com/beer/profile/417/286031/,6.7
7.50,Rotating,Sierra Nevada Brewing Co.,0,https://cdn.beeradvocate.com/im/beers/218746.jpg,"California, United States",Dunkelweizen Bock,16343,39,14,3.87,Very Good,Weizenbock,https://www.beeradvocate.com/beer/profile/140/218746/,13.44
7.20,Year-round,Aktienbrauerei Kaufbeuren AG,0,https://cdn.beeradvocate.com/im/beers/27464.jpg,Germany,St. Blasius Weizenbock,38605,36,34,3.47,Okay,Weizenbock,https://www.beeradvocate.com/beer/profile/1623/27464/,15.27
7.80,Rotating,Blue Mountain Brewery,0,https://cdn.beeradvocate.com/im/placeholder-beer.jpg,"Virginia, United States",Summer Haze Pale Weizenbock,20796,35,7,3.81,Very Good,Weizenbock,https://www.beeradvocate.com/beer/profile/16352/44355/,10.24
9.00,Winter,Heavy Seas Beer,0,https://cdn.beeradvocate.com/im/beers/204297.jpg,"Maryland, United States",Yule Tide (2015),14259,34,5,3.92,Very Good,Weizenbock,https://www.beeradvocate.com/beer/profile/898/204297/,8.42
7.50,Rotating,Mill Street Brew Pub,0,https://cdn.beeradvocate.com/im/beers/55241.jpg,"Ontario, Canada",Mill Street Weizenbock,36275,33,11,3.54,Good,Weizenbock,https://www.beeradvocate.com/beer/profile/3760/55241/,9.6
7.50,Summer,Urban Chestnut Brewing Company - Midtown Brewery & Biergarten,0,https://cdn.beeradvocate.com/im/beers/69449.jpg,"Missouri, United States",Maximilian,29001,32,10,3.69,Good,Weizenbock,https://www.beeradvocate.com/beer/profile/24764/69449/,9.21
12.50,Rotating,The Livery,0,https://cdn.beeradvocate.com/im/placeholder-beer.jpg,"Michigan, United States",Bourbon Cask Aged Wheat Trippelbock,3075,32,13,4.42,Outstanding,Weizenbock,https://www.beeradvocate.com/beer/profile/12547/33230/,7.69
7.00,Rotating,Portsmouth Brewery,0,https://cdn.beeradvocate.com/im/beers/21723.jpg,"New Hampshire, United States",Portsmouth Weizenbock,22497,31,21,3.79,Very Good,Weizenbock,https://www.beeradvocate.com/beer/profile/596/21723/,12.14
5.00,Winter,Denen Plaza Kawaba Brewery,0,https://cdn.beeradvocate.com/im/beers/91695.jpg,Japan,Snow Weizen,38912,30,9,3.43,Okay,Weizenbock,https://www.beeradvocate.com/beer/profile/23623/91695/,15.16
5.60,Winter,Boston Beer Company (Samuel Adams),3.73,https://cdn.beeradvocate.com/im/beers/101.jpg,"Massachusetts, United States",Samuel Adams Winter Lager,39094,6032,2007,3.59,Good,Bock,https://www.beeradvocate.com/beer/profile/35/101/,13.37
4.40,Year-round,Spoetzl Brewery / Shiner,2.73,https://cdn.beeradvocate.com/im/beers/1352.jpg,"Texas, United States",Shiner Bock,44641,4117,1109,3.18,Okay,Bock,https://www.beeradvocate.com/beer/profile/143/1352/,19.5
5.80,Rotating,Boston Beer Company (Samuel Adams),3.1,https://cdn.beeradvocate.com/im/beers/14309.jpg,"Massachusetts, United States",Samuel Adams Chocolate Bock,36804,3041,1215,3.63,Good,Bock,https://www.beeradvocate.com/beer/profile/35/14309/,16.25
5.20,Year-round,Anheuser-Busch,3.33,https://cdn.beeradvocate.com/im/beers/1252.jpg,"Missouri, United States",Michelob AmberBock,45103,1838,687,2.88,Poor,Bock,https://www.beeradvocate.com/beer/profile/29/1252/,21.88
5.80,Rotating,Boston Beer Company (Samuel Adams),0,https://cdn.beeradvocate.com/im/beers/68000.jpg,"Massachusetts, United States",Samuel Adams Cherry Chocolate Bock,42256,870,185,3.47,Okay,Bock,https://www.beeradvocate.com/beer/profile/35/68000/,19.31
5.10,Spring,Yuengling Brewery,0,https://cdn.beeradvocate.com/im/beers/47812.jpg,"Pennsylvania, United States",Yuengling Bock,43543,677,239,3.37,Okay,Bock,https://www.beeradvocate.com/beer/profile/182/47812/,16.32
6.70,Rotating,New Glarus Brewing Company,3.46,https://cdn.beeradvocate.com/im/beers/2565.jpg,"Wisconsin, United States",Uff-da,13925,620,328,3.82,Very Good,Bock,https://www.beeradvocate.com/beer/profile/590/2565/,10.99
8.50,Fall,Boston Beer Company (Samuel Adams),3.18,https://cdn.beeradvocate.com/im/beers/74579.jpg,"Massachusetts, United States",The Vixen Chocolate Chili Bock,32953,611,255,3.67,Good,Bock,https://www.beeradvocate.com/beer/profile/35/74579/,15.26
5.50,Rotating,New Glarus Brewing Company,4.2,https://cdn.beeradvocate.com/im/beers/62671.jpg,"Wisconsin, United States",Back Forty Bock,18727,537,144,3.78,Very Good,Bock,https://www.beeradvocate.com/beer/profile/590/62671/,12.7
6.00,Winter,Pennsylvania Brewing Company,4,https://cdn.beeradvocate.com/im/beers/2272.jpg,"Pennsylvania, United States",St. Nikolaus Bock Bier,6175,416,213,3.94,Very Good,Bock,https://www.beeradvocate.com/beer/profile/125/2272/,11.68
6.90,Spring,Saint Arnold Brewing Company,0,https://cdn.beeradvocate.com/im/beers/1070.jpg,"Texas, United States",Saint Arnold Spring Bock,36248,391,153,3.63,Good,Bock,https://www.beeradvocate.com/beer/profile/337/1070/,12.95
7.50,Year-round,Breckenridge Brewery,3.55,https://cdn.beeradvocate.com/im/beers/3835.jpg,"Colorado, United States",Pandora's Bock,42689,381,152,3.43,Okay,Bock,https://www.beeradvocate.com/beer/profile/2137/3835/,15.16
5.20,Spring,Genesee Brewing Co. / Dundee Brewing Co.,3.81,https://cdn.beeradvocate.com/im/beers/41422.jpg,"New York, United States",Genesee Bock Beer,42087,314,147,3.46,Okay,Bock,https://www.beeradvocate.com/beer/profile/302/41422/,13.87
6.50,Year-round,Einbecker Brauhaus AG,0,https://cdn.beeradvocate.com/im/beers/1873.jpg,Germany,Einbecker Ur-Bock Dunkel,28306,298,186,3.71,Good,Bock,https://www.beeradvocate.com/beer/profile/66/1873/,11.59
7.00,Fall,Bierbrouwerij De Koningshoeven B.V.,4,https://cdn.beeradvocate.com/im/beers/20299.jpg,Netherlands,La Trappe Bockbier,4899,277,111,3.99,Very Good,Bock,https://www.beeradvocate.com/beer/profile/184/20299/,9.77
6.00,Winter,Mahr's Bräu,0,https://cdn.beeradvocate.com/im/beers/14899.jpg,Germany,Mahr's Christmas Bock,31611,246,178,3.68,Good,Bock,https://www.beeradvocate.com/beer/profile/428/14899/,12.23
5.90,Winter,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",0,https://cdn.beeradvocate.com/im/beers/7714.jpg,Mexico,Noche Buena,43370,221,95,3.35,Okay,Bock,https://www.beeradvocate.com/beer/profile/57/7714/,17.91
6.10,Winter,August Schell Brewing Company,0,https://cdn.beeradvocate.com/im/beers/47795.jpg,"Minnesota, United States",Schell's Bock,14120,209,91,3.83,Very Good,Bock,https://www.beeradvocate.com/beer/profile/417/47795/,12.53
5.80,Fall,Boston Beer Company (Samuel Adams),0,https://cdn.beeradvocate.com/im/beers/225611.jpg,"Massachusetts, United States",Samuel Adams Toasted Caramel Bock,34999,201,65,3.64,Good,Bock,https://www.beeradvocate.com/beer/profile/35/225611/,10.99
6.00,Winter,Matt Brewing Company / Saranac Brewery,0,https://cdn.beeradvocate.com/im/beers/75739.jpg,"New York, United States",Saranac Chocolate Lager,43010,175,65,3.37,Okay,Bock,https://www.beeradvocate.com/beer/profile/99/75739/,15.13
5.10,Year-round,Granite City Food & Brewery,0,https://cdn.beeradvocate.com/im/beers/31215.jpg,United States,Brother Benedict's Bock,43203,171,55,3.35,Okay,Bock,https://www.beeradvocate.com/beer/profile/1819/31215/,15.82
6.00,Winter,Millstream Brewing Company,4.77,https://cdn.beeradvocate.com/im/beers/7904.jpg,"Iowa, United States",Millstream Schokolade Bock,5824,163,97,3.98,Very Good,Bock,https://www.beeradvocate.com/beer/profile/107/7904/,11.06
7.50,Winter,Atwater Brewery,0,https://cdn.beeradvocate.com/im/beers/39884.jpg,"Michigan, United States",Atwater Winterbock,43619,162,70,3.3,Okay,Bock,https://www.beeradvocate.com/beer/profile/15280/39884/,18.48
5.70,Winter,Sprecher Brewing Company,0,https://cdn.beeradvocate.com/im/beers/1000.jpg,"Wisconsin, United States",Winter Lager,17643,158,98,3.8,Very Good,Bock,https://www.beeradvocate.com/beer/profile/144/1000/,12.11
6.00,Fall,Creemore Springs Brewery Limited,0,https://cdn.beeradvocate.com/im/beers/2250.jpg,"Ontario, Canada",Creemore Springs UrBock,34746,157,89,3.64,Good,Bock,https://www.beeradvocate.com/beer/profile/455/2250/,10.99
6.50,Year-round,Revolver Brewing,0,https://cdn.beeradvocate.com/im/beers/86334.jpg,"Texas, United States",Revolver Bock,16849,141,16,3.81,Very Good,Bock,https://www.beeradvocate.com/beer/profile/30128/86334/,10.76
7.00,Spring,Mendocino Brewing Company,0,https://cdn.beeradvocate.com/im/beers/41471.jpg,United States,Special Edition - Bock Beer,28161,129,115,3.71,Good,Bock,https://www.beeradvocate.com/beer/profile/200/41471/,10.51
5.80,Year-round,Rock Art Brewery,0,https://cdn.beeradvocate.com/im/beers/20968.jpg,"Vermont, United States",Mountain Holidays In Vermont Rich Creamy Bock Lager,34494,128,87,3.64,Good,Bock,https://www.beeradvocate.com/beer/profile/1805/20968/,10.99
7.70,Summer,Lagunitas Brewing Company,0,https://cdn.beeradvocate.com/im/beers/283116.jpg,"California, United States",LAG Lagunator Lager,11862,125,41,3.87,Very Good,Bock,https://www.beeradvocate.com/beer/profile/220/283116/,8.79
7.00,Year-round,Hanseatische Getränke-Industrie (HGI) Holsten-Brauerei AG,0,https://cdn.beeradvocate.com/im/beers/5119.jpg,Germany,Holsten Festbock,43240,124,77,3.32,Okay,Bock,https://www.beeradvocate.com/beer/profile/628/5119/,15.36
6.00,Winter,Matt Brewing Company / Saranac Brewery,4,https://cdn.beeradvocate.com/im/beers/34304.jpg,"New York, United States",Saranac Black Diamond Bock,31081,121,92,3.68,Good,Bock,https://www.beeradvocate.com/beer/profile/99/34304/,10.33
6.50,Rotating,Pittsburgh Brewing Co.,0,https://cdn.beeradvocate.com/im/beers/144046.jpg,"Pennsylvania, United States",Block House Double Chocolate Bock,43358,106,25,3.29,Okay,Bock,https://www.beeradvocate.com/beer/profile/410/144046/,25.84
5.50,Year-round,Minhas Craft Brewery,0,https://cdn.beeradvocate.com/im/beers/6340.jpg,"Wisconsin, United States",Huber Bock Beer,44177,102,60,3.14,Okay,Bock,https://www.beeradvocate.com/beer/profile/435/6340/,17.52
9.40,Spring,Shmaltz Brewing Company,0,https://cdn.beeradvocate.com/im/beers/161796.jpg,"New York, United States",Bock Bock Imperial American Bock Aged In Bourbon Barrels,26906,97,43,3.72,Good,Bock,https://www.beeradvocate.com/beer/profile/262/161796/,19.62
6.70,Rotating,"Lakefront Brewery, Inc.",0,https://cdn.beeradvocate.com/im/beers/3479.jpg,"Wisconsin, United States",Bock Beer,36513,95,62,3.6,Good,Bock,https://www.beeradvocate.com/beer/profile/741/3479/,16.94
8.00,Year-round,Amarcord Birra Artigianale Italiana,0,https://cdn.beeradvocate.com/im/beers/76116.jpg,Italy,Nero's 1st Century Double Dark Malt Ale,44379,92,48,3.06,Okay,Bock,https://www.beeradvocate.com/beer/profile/7734/76116/,19.61
6.00,Rotating,Boston Beer Company (Samuel Adams),0,https://cdn.beeradvocate.com/im/beers/289887.jpg,"Massachusetts, United States",Samuel Adams Amber Bock,39817,90,22,3.51,Good,Bock,https://www.beeradvocate.com/beer/profile/35/289887/,11.11
6.50,Year-round,Browar Amber,3.85,https://cdn.beeradvocate.com/im/beers/27167.jpg,Poland,Kozlak,37349,88,54,3.58,Good,Bock,https://www.beeradvocate.com/beer/profile/5502/27167/,14.8
6.30,Spring,Horny Goat Brewing Co.,0,https://cdn.beeradvocate.com/im/beers/67329.jpg,"Wisconsin, United States",Horny Goat Baby Got Bock,43392,87,15,3.26,Okay,Bock,https://www.beeradvocate.com/beer/profile/17856/67329/,13.5
6.50,Year-round,Jopen Bier BV Haarlem,3.73,https://cdn.beeradvocate.com/im/beers/11985.jpg,Netherlands,Jopen Bokbier,20175,77,51,3.79,Very Good,Bock,https://www.beeradvocate.com/beer/profile/514/11985/,11.35
14.00,Year-round,Rinkuškiai,0,https://cdn.beeradvocate.com/im/beers/103502.jpg,Lithuania,Hell On High Quad Bock,45019,75,22,2.59,Poor,Bock,https://www.beeradvocate.com/beer/profile/12224/103502/,31.27
6.00,Winter,Matt Brewing Company / Saranac Brewery,0,https://cdn.beeradvocate.com/im/beers/33413.jpg,"New York, United States",Saranac Bock,40953,73,49,3.44,Okay,Bock,https://www.beeradvocate.com/beer/profile/99/33413/,12.5
6.90,Year-round,Kulmbacher Brauerei AG,0,https://cdn.beeradvocate.com/im/beers/13231.jpg,Germany,Mönchshof Bockbier,24242,69,38,3.75,Very Good,Bock,https://www.beeradvocate.com/beer/profile/412/13231/,10.93
7.80,Fall,Bierbrouwerij Sint Christoffel B.V,0,https://cdn.beeradvocate.com/im/beers/26322.jpg,Netherlands,Christoffel Bokbier,37901,66,51,3.55,Good,Bock,https://www.beeradvocate.com/beer/profile/553/26322/,9.86
6.50,Year-round,Red Oak Brewery,0,https://cdn.beeradvocate.com/im/beers/42771.jpg,"North Carolina, United States",Battlefield Bock,14107,65,18,3.87,Very Good,Bock,https://www.beeradvocate.com/beer/profile/2951/42771/,14.21
6.50,Year-round,Aass Brewery,4.4,https://cdn.beeradvocate.com/im/beers/664.jpg,Norway,Aass Bock,8142,65,40,3.98,Very Good,Bock,https://www.beeradvocate.com/beer/profile/185/664/,12.31
5.60,Rotating,Martin House Brewing Company,0,https://cdn.beeradvocate.com/im/beers/171485.jpg,"Texas, United States",Bockslider Toadies Texas Bock,26129,65,9,3.73,Good,Bock,https://www.beeradvocate.com/beer/profile/31272/171485/,10.72
6.66,Winter,Brasserie d'Achouffe,3.98,https://cdn.beeradvocate.com/im/beers/872.jpg,Belgium,Chouffe-Bok,22433,64,32,3.77,Very Good,Bock,https://www.beeradvocate.com/beer/profile/321/872/,15.38
7.20,Spring,Rivertown Brewery & Barrel House,3.94,https://cdn.beeradvocate.com/im/beers/56588.jpg,"Ohio, United States",Bock Beer,38474,63,24,3.53,Good,Bock,https://www.beeradvocate.com/beer/profile/22157/56588/,13.6
6.50,Year-round,Zywiec Breweries PLC (Heineken),0,https://cdn.beeradvocate.com/im/beers/93901.jpg,Poland,Zywiec Bock,23501,59,23,3.76,Very Good,Bock,https://www.beeradvocate.com/beer/profile/623/93901/,8.78
6.70,Year-round,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,4.69,https://cdn.beeradvocate.com/im/beers/131.jpg,Germany,Ayinger Celebrator Doppelbock,366,6583,2457,4.34,Outstanding,Doppelbock,https://www.beeradvocate.com/beer/profile/39/131/,9.91
8.20,Year-round,Tröegs Brewing Company,4.2,https://cdn.beeradvocate.com/im/beers/4109.jpg,"Pennsylvania, United States",Tröegs Troegenator Double Bock,5484,3273,1140,3.94,Very Good,Doppelbock,https://www.beeradvocate.com/beer/profile/694/4109/,11.68
7.60,Year-round,Spaten-Franziskaner-Bräu,3.81,https://cdn.beeradvocate.com/im/beers/99.jpg,Germany,Spaten Optimator,7728,3087,1345,3.89,Very Good,Doppelbock,https://www.beeradvocate.com/beer/profile/142/99/,12.34
7.90,Year-round,Paulaner Brauerei GmbH & Co. KG,0,https://cdn.beeradvocate.com/im/beers/387.jpg,Germany,Salvator Doppel Bock,6293,2785,1392,3.92,Very Good,Doppelbock,https://www.beeradvocate.com/beer/profile/124/387/,11.73
7.40,Winter,Bayerische Staatsbrauerei Weihenstephan,4.05,https://cdn.beeradvocate.com/im/beers/779.jpg,Germany,Weihenstephaner Korbinian,1096,2710,1250,4.2,Exceptional,Doppelbock,https://www.beeradvocate.com/beer/profile/252/779/,9.05
14.00,Winter,Brauerei Schloss Eggenberg,4.5,https://cdn.beeradvocate.com/im/beers/776.jpg,Austria,Samichlaus Classic Bier,3374,2092,1114,4.02,Exceptional,Doppelbock,https://www.beeradvocate.com/beer/profile/285/776/,16.42
9.50,Winter,Boston Beer Company (Samuel Adams),4.14,https://cdn.beeradvocate.com/im/beers/47785.jpg,"Massachusetts, United States",Samuel Adams Double Bock (Imperial Series),6369,1932,1110,3.92,Very Good,Doppelbock,https://www.beeradvocate.com/beer/profile/35/47785/,13.01
8.00,Spring,"Bell's Brewery, Inc.",4.2,https://cdn.beeradvocate.com/im/beers/2732.jpg,"Michigan, United States",Bell's Consecrator Doppelbock,13543,1473,680,3.82,Very Good,Doppelbock,https://www.beeradvocate.com/beer/profile/287/2732/,11.78
7.10,Year-round,Klosterbrauerei Andechs,0,https://cdn.beeradvocate.com/im/beers/2899.jpg,Germany,Andechser Doppelbock Dunkel,682,1157,479,4.28,Outstanding,Doppelbock,https://www.beeradvocate.com/beer/profile/911/2899/,9.81
7.00,Rotating,Dark Horse Brewing Company,3.76,https://cdn.beeradvocate.com/im/beers/39129.jpg,"Michigan, United States",Dark Horse Perkulator Coffee Dopplebock,26807,1027,444,3.72,Good,Doppelbock,https://www.beeradvocate.com/beer/profile/1471/39129/,14.25
7.20,Year-round,Birra Moretti (Heineken),3.83,https://cdn.beeradvocate.com/im/beers/871.jpg,Italy,Birra Moretti La Rossa,36619,1008,466,3.63,Good,Doppelbock,https://www.beeradvocate.com/beer/profile/10161/871/,13.5
8.00,Winter,Brauerei Heller-Trum / Schlenkerla,0,https://cdn.beeradvocate.com/im/beers/54731.jpg,Germany,Aecht Schlenkerla Eiche,3143,935,429,4.04,Exceptional,Doppelbock,https://www.beeradvocate.com/beer/profile/263/54731/,13.37
11.00,Year-round,Kulmbacher Brauerei AG,4.47,https://cdn.beeradvocate.com/im/beers/1230.jpg,Germany,EKU 28,5466,711,466,3.95,Very Good,Doppelbock,https://www.beeradvocate.com/beer/profile/412/1230/,14.94
8.50,Year-round,Thomas Hooker Brewing Company,4.65,https://cdn.beeradvocate.com/im/beers/15589.jpg,"Connecticut, United States",Thomas Hooker Liberator Doppelbock,1241,696,510,4.2,Exceptional,Doppelbock,https://www.beeradvocate.com/beer/profile/696/15589/,11.43
8.20,Rotating,Smuttynose Brewing Company,4.33,https://cdn.beeradvocate.com/im/beers/21296.jpg,"New Hampshire, United States",Smuttynose S'muttonator (Heritage Series),3431,647,402,4.03,Exceptional,Doppelbock,https://www.beeradvocate.com/beer/profile/141/21296/,10.42
7.50,Rotating,Augustiner-Bräu Wagner KG,3.55,https://cdn.beeradvocate.com/im/beers/2864.jpg,Germany,Augustiner Bräu Maximator,6745,639,335,3.92,Very Good,Doppelbock,https://www.beeradvocate.com/beer/profile/820/2864/,10.71
8.20,Year-round,Tommyknocker Brewery,4.18,https://cdn.beeradvocate.com/im/beers/115.jpg,"Colorado, United States",Butthead Doppelbock,34000,605,382,3.66,Good,Doppelbock,https://www.beeradvocate.com/beer/profile/156/115/,14.21
7.80,Fall,Capital Brewery,0,https://cdn.beeradvocate.com/im/beers/991.jpg,"Wisconsin, United States",Autumnal Fire,2935,590,340,4.06,Exceptional,Doppelbock,https://www.beeradvocate.com/beer/profile/368/991/,10.1
7.60,Spring,Victory Brewing Company - Downingtown,4.35,https://cdn.beeradvocate.com/im/beers/1012.jpg,"Pennsylvania, United States",St. Victorious,2943,577,378,4.06,Exceptional,Doppelbock,https://www.beeradvocate.com/beer/profile/345/1012/,10.59
8.00,Year-round,Utah Brewers Cooperative,3.67,https://cdn.beeradvocate.com/im/beers/40200.jpg,,Wasatch The Devastator Double Bock,32918,535,180,3.67,Good,Doppelbock,https://www.beeradvocate.com/beer/profile/28908/40200/,13.62
6.90,Year-round,Klosterbrauerei Weltenburg,0,https://cdn.beeradvocate.com/im/beers/3606.jpg,Germany,Weltenburger Kloster Asam-Bock,2509,534,327,4.09,Exceptional,Doppelbock,https://www.beeradvocate.com/beer/profile/1315/3606/,10.51
7.00,Rotating,Stoudts Brewing Co.,0,https://cdn.beeradvocate.com/im/beers/36670.jpg,"Pennsylvania, United States",Smooth Hoperator,7836,472,264,3.9,Very Good,Doppelbock,https://www.beeradvocate.com/beer/profile/394/36670/,10.77
9.60,Year-round,Brauerei Schloss Eggenberg,0,https://cdn.beeradvocate.com/im/beers/2214.jpg,Austria,Urbock 23°,38615,448,303,3.59,Good,Doppelbock,https://www.beeradvocate.com/beer/profile/285/2214/,17.27
8.00,Summer,Great Divide Brewing Company,4.11,https://cdn.beeradvocate.com/im/beers/82458.jpg,"Colorado, United States",Wolfgang Doppelbock Lager,4832,433,117,3.98,Very Good,Doppelbock,https://www.beeradvocate.com/beer/profile/158/82458/,10.05
7.80,Spring,Great Lakes Brewing Co.,0,https://cdn.beeradvocate.com/im/beers/63562.jpg,"Ohio, United States",Great Lakes The Doppelrock,10585,420,213,3.86,Very Good,Doppelbock,https://www.beeradvocate.com/beer/profile/73/63562/,10.88
9.50,Year-round,Atwater Brewery,0,https://cdn.beeradvocate.com/im/beers/33280.jpg,"Michigan, United States",Atwater Voodoovator,42048,415,203,3.47,Okay,Doppelbock,https://www.beeradvocate.com/beer/profile/15280/33280/,15.27
8.50,Winter,Jack's Abby Brewing,0,https://cdn.beeradvocate.com/im/beers/76396.jpg,"Massachusetts, United States",Saxonator Dunkles Doppelbock,4934,375,68,3.98,Very Good,Doppelbock,https://www.beeradvocate.com/beer/profile/26520/76396/,8.79
7.20,Year-round,Der HirschBrau/Privatbrauerei Höss,4.24,https://cdn.beeradvocate.com/im/beers/1661.jpg,Germany,Doppel-Hirsch,11523,368,237,3.85,Very Good,Doppelbock,https://www.beeradvocate.com/beer/profile/620/1661/,12.47
7.50,Winter,Trader Joe's Brewing Company,3.55,https://cdn.beeradvocate.com/im/beers/41002.jpg,"California, United States",Josephs Brau Winter Brew,38904,330,208,3.58,Good,Doppelbock,https://www.beeradvocate.com/beer/profile/10707/41002/,12.57
